"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","defense response to virus","53/467","320/18986",0.165625,6.73352516059957,16.4257820610829,1.11073209235865e-28,4.52734400845384e-25,3.95771382382528e-25,"GBP3/GBP1/IFNLR1/MOV10/IFI16/RSAD2/IFIH1/RTP4/PLSCR1/PARP9/DTX3L/IL15/DDX60/DDX60L/TLR3/IRF1/ZDHHC11B/TNF/TNFAIP3/FGL2/ZC3HAV1/TRIM56/RIGI/IFITM1/IFITM3/TRIM5/IFITM2/CASP1/IRF7/TRIM22/UNC93B1/TRIM21/IFIT3/IFIT2/OAS1/OAS3/OAS2/OASL/IFI27/IRF9/ISG20/NLRC5/MAP3K14/TRIM25/DHX58/PMAIP1/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/MX1/MX2",53
"GO:0009615","response to virus","58/467","425/18986",0.136470588235294,5.54824537095352,15.0588789069166,9.07933574231367e-27,1.85036862428353e-23,1.61755534145957e-23,"LGALS8/GBP3/GBP1/IFNLR1/MOV10/IFI16/RSAD2/NMI/IFIH1/RTP4/PLSCR1/PARP9/DTX3L/IL15/DDX60/DDX60L/NFKB1/TLR3/IRF1/ZDHHC11B/TNF/TNFAIP3/FGL2/ZC3HAV1/TRIM56/IKBKB/RIGI/FOSL1/IFITM1/IFITM3/TRIM5/IFITM2/CASP1/IRF7/TRIM22/UNC93B1/TRIM21/IFIT3/IFIT2/OAS1/OAS3/OAS2/OASL/IFI27/IRF9/ISG20/NLRC5/MAP3K14/TRIM25/DHX58/PMAIP1/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/MX1/MX2",58
"GO:0045071","negative regulation of viral genome replication","20/467","55/18986",0.363636363636364,14.7837259100642,16.2560928339785,1.00248020777836e-18,1.08136744771787e-15,9.45309852415938e-16,"IFI16/RSAD2/IFIH1/PLSCR1/TNF/ZC3HAV1/IFITM1/IFITM3/IFITM2/OAS1/OAS3/OAS2/OASL/ISG20/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/MX1",20
"GO:0048525","negative regulation of viral process","25/467","99/18986",0.252525252525253,10.2664763264335,14.6793120551542,1.06120456105777e-18,1.08136744771787e-15,9.45309852415938e-16,"IFI16/SP100/RSAD2/IFIH1/PLSCR1/TNF/ZC3HAV1/TRIM14/IFITM1/IFITM3/TRIM5/IFITM2/TRIM21/OAS1/OAS3/OAS2/OASL/ISG20/TRIM25/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/MX1",25
"GO:1903900","regulation of viral life cycle","27/467","146/18986",0.184931506849315,7.51843595083746,12.5555099459503,2.21239662133625e-16,1.79047546956388e-13,1.56519794031138e-13,"IFI16/RSAD2/IFIH1/PLSCR1/LAMP3/CXCL8/TNF/ZC3HAV1/IFITM1/IFITM3/TRIM5/IFITM2/TRIM22/TRIM21/OAS1/OAS3/OAS2/OASL/ISG20/TRIM25/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/TMPRSS2/MX1",27
"GO:0050792","regulation of viral process","29/467","173/18986",0.167630057803468,6.81504127935042,12.2011790681003,2.63563611810188e-16,1.79047546956388e-13,1.56519794031138e-13,"IFI16/SP100/RSAD2/IFIH1/PLSCR1/LAMP3/CXCL8/TNF/ZC3HAV1/TRIM14/IFITM1/IFITM3/TRIM5/IFITM2/TRIM22/TRIM21/OAS1/OAS3/OAS2/OASL/ISG20/TRIM25/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/TMPRSS2/MX1",29
"GO:0045069","regulation of viral genome replication","21/467","85/18986",0.247058823529412,10.0442373094848,13.2707050299061,1.05224871974728e-15,6.12709397384275e-13,5.35618333284895e-13,"IFI16/RSAD2/IFIH1/PLSCR1/CXCL8/TNF/ZC3HAV1/IFITM1/IFITM3/IFITM2/OAS1/OAS3/OAS2/OASL/ISG20/ZNFX1/SHFL/BST2/APOBEC3B/APOBEC3F/MX1",21
"GO:0045088","regulation of innate immune response","44/467","470/18986",0.0936170212765957,3.80602305344207,9.78186247787486,2.74575022061632e-14,1.39895973740401e-11,1.22294269694556e-11,"CTSS/IFI16/RSAD2/NMI/IFIH1/PARP14/PLSCR1/PARP9/NFKBIZ/DDX60/TLR6/TLR3/RBM47/IRF1/HLA-F/HLA-E/HLA-B/TNF/HLA-A/TNFAIP3/ZC3HAV1/TRIM56/IRAK1/LYN/IKBKB/RIGI/CD274/FOSL1/TRIM5/CASP1/IRF7/UNC93B1/TRIM21/BIRC3/OAS1/OAS3/OASL/NLRC5/PLCG2/IFI35/TRIM25/DHX58/ZNFX1/CEACAM1",44
"GO:0045089","positive regulation of innate immune response","39/467","387/18986",0.10077519379845,4.09704032003718,9.77490442874105,8.24700662380947e-14,3.73497766651638e-11,3.26504297328597e-11,"CTSS/IFI16/RSAD2/NMI/IFIH1/PLSCR1/PARP9/NFKBIZ/DDX60/TLR6/TLR3/RBM47/IRF1/HLA-F/HLA-E/TNF/TNFAIP3/ZC3HAV1/TRIM56/IRAK1/LYN/IKBKB/RIGI/CD274/FOSL1/TRIM5/CASP1/IRF7/UNC93B1/BIRC3/OAS1/OAS3/OASL/NLRC5/PLCG2/IFI35/TRIM25/DHX58/ZNFX1",39
"GO:0002833","positive regulation of response to biotic stimulus","40/467","416/18986",0.0961538461538462,3.9091582935266,9.52715084220294,1.82671900509252e-13,7.44570666475711e-11,6.50888824446124e-11,"CTSS/IFI16/RSAD2/NMI/IFIH1/PLSCR1/PARP9/NFKBIZ/DDX60/TLR6/TLR3/RBM47/IRF1/HLA-F/HLA-E/TNF/TNFAIP3/ZC3HAV1/TRIM56/IRAK1/LYN/IKBKB/RIGI/CD274/FOSL1/TRIM5/CASP1/IRF7/UNC93B1/BIRC3/OAS1/OAS3/OASL/NLRC5/PLCG2/IFI35/TRIM25/DHX58/EMILIN2/ZNFX1",40
