"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","29/255","182/9392",0.159340659340659,5.86873518638224,11.0801650723716,7.47614089082558e-15,2.10827173121281e-12,1.69196872792369e-12,"6672/64135/4790/7098/3134/3133/3107/3106/6890/7124/6892/6891/3105/56829/3654/3551/23586/3665/330/355/4938/4940/4939/10379/567/6426/9021/684/718",29
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","30/255","204/9392",0.147058823529412,5.4163783160323,10.6535673892821,2.30757070948486e-14,3.25367470037365e-12,2.61119843441708e-12,"4790/3134/3133/8737/3107/3106/6890/7124/6892/6891/3105/4794/7128/3654/4067/3551/23586/3665/355/4791/4938/4940/4939/10379/4734/567/5336/9020/3383/5971",30
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","22/255","119/9392",0.184873949579832,6.80916131158346,10.6537128042023,6.99070490671184e-13,6.57126261230913e-11,5.27368966646683e-11,"1435/8837/6372/3600/4790/3659/8737/7124/7128/3551/7185/90993/330/355/2353/64285/79651/9020/9021/1051/3383/3976",22
"Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","20/255","105/9392",0.19047619047619,7.01549953314659,10.3550648298389,4.53377058186868e-12,3.19630826021742e-10,2.56515967132044e-10,"8837/3576/4790/4050/8737/7124/7128/3654/4067/3551/7185/23586/330/5328/4791/5336/9020/7706/3383/5971",20
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","23/255","173/9392",0.132947976878613,4.89665646605463,8.64166569808967,2.35176522130376e-10,1.32639558481532e-08,1.06448320543223e-08,"91543/64135/8743/3576/4790/7098/7124/3551/8797/23586/834/3665/355/4938/4940/4939/10379/7706/9021/3383/7113/4599/4600",23
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","24/255","213/9392",0.112676056338028,4.15001380834024,7.76834978667137,2.91547134557339e-09,1.3702715324195e-07,1.09969533210225e-07,"4790/3134/3133/8737/3107/3106/6890/7124/6892/6891/3105/3654/2185/3551/85363/355/3709/2353/567/5336/4773/684/9582/200316",24
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","22/255","224/9392",0.0982142857142857,3.61736694677871,6.62331665137117,1.65347680327592e-07,6.661149407483e-06,5.34582725871163e-06,"3600/4790/1958/3134/3133/3107/3106/7124/3105/3551/1030/90993/8061/4316/1959/4791/2353/567/9020/4773/3383/5971",22
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","18/255","159/9392",0.113207547169811,4.16958934517203,6.7337089449986,2.79238628289139e-07,9.84316164719214e-06,7.89951382660063e-06,"91543/8837/9076/4790/7098/8737/7124/3551/23586/3665/355/4938/4940/4939/10379/9021/4599/4600",18
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","20/255","203/9392",0.0985221674876847,3.62870665507582,6.32528671078657,5.86604487442925e-07,1.83802739398783e-05,1.47508730760502e-05,"8743/9076/3576/4790/8737/7124/3654/3551/8797/1902/2017/834/355/2353/55930/7082/4641/4642/79784/9138",20
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","20/255","205/9392",0.0975609756097561,3.59330463892874,6.27144773487657,6.86470075070567e-07,1.935845611699e-05,1.55359016989655e-05,"6672/4790/3134/3133/8365/3107/3106/3105/4067/7185/1030/90993/2965/3665/1959/4791/51564/10379/5366/718",20
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","14/255","105/9392",0.133333333333333,4.91084967320261,6.73212618214336,8.38319057998784e-07,2.14914522141506e-05,1.724771267653e-05,"1263/4790/3659/7124/3551/834/1959/4791/3709/10379/5336/9020/4773/5971",14
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","19/255","196/9392",0.0969387755102041,3.5703881552621,6.07507247887597,1.45056025867599e-06,3.40881660788857e-05,2.73570575101173e-05,"3576/4790/7098/3134/3133/3107/3106/3105/4067/3551/3665/355/3709/2353/10379/5336/4773/3383/718",19
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","12/255","81/9392",0.148148148148148,5.45649963689179,6.72918424777945,1.65974356969288e-06,3.60036682041072e-05,2.88943212537628e-05,"1520/3134/3133/3107/3106/6890/7124/6892/6891/3105/5721/567",12
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","20/255","226/9392",0.0884955752212389,3.25941349991324,5.74360031266893,3.17519371445807e-06,6.25215901304424e-05,5.01759681897914e-05,"3576/4790/3134/3133/8737/3107/3106/6890/7124/6892/6891/3105/2185/3551/90993/355/3709/567/4773/9138",20
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","11/255","72/9392",0.152777777777778,5.62701525054466,6.58390295706423,3.32561649630013e-06,6.25215901304424e-05,5.01759681897914e-05,"64135/3576/4790/8737/7124/3551/23586/3665/7706/79132/57169",11
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","18/255","189/9392",0.0952380952380952,3.5077497665733,5.81801166637537,3.56138100329911e-06,6.27693401831468e-05,5.03747970861387e-05,"2635/2633/115361/3428/3576/4790/8737/7124/7128/3551/834/3665/330/3709/4938/4940/4939/10379",18
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","15/255","137/9392",0.109489051094891,4.03263203091456,5.9733228414118,4.28724755627771e-06,7.11178712276655e-05,5.70748126687125e-05,"1520/8837/8743/4790/8737/7124/3551/8797/7185/330/355/3709/2353/9020/5366",15
"Human Diseases","Infectious disease: viral","hsa05162","Measles","15/255","139/9392",0.107913669064748,3.97460854845535,5.90228449146778,5.13679904269561e-06,8.04765183355646e-05,6.45854850397402e-05,"64135/4790/7128/3654/3551/23586/3665/355/4938/4940/4939/2353/10379/4599/4600",15
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","19/255","238/9392",0.0798319327731092,2.94031965727467,5.06501231963187,2.46086105531225e-05,0.000365243588209502,0.000293121953956861,"64135/3576/4790/7098/7124/3654/3551/23586/834/4938/4940/4939/2353/10379/5336/718/7113/4599/4600",19
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","14/255","143/9392",0.0979020979020979,3.60586864116276,5.24562628310537,3.23850516082686e-05,0.000456629227676588,0.000366462426093566,"1435/4790/7124/3551/8061/4791/3709/2353/10379/5336/9020/9021/4773/5971",14
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","15/255","163/9392",0.0920245398773006,3.38939011187297,5.14076485727826,3.52740453741221e-05,0.000473680037881068,0.000380146353655952,"64135/3576/4790/7098/7124/3654/2185/3551/23586/90993/3665/1959/355/2353/4773",15
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","12/255","109/9392",0.110091743119266,4.05483000539665,5.35895758231502,3.74900093780214e-05,0.00048055375657282,0.000385662775898306,"6373/3576/10333/4790/7098/8737/7124/3654/3551/3665/2353/10379",12
"Human Diseases","Immune disease","hsa05330","Allograft rejection","7/255","39/9392",0.179487179487179,6.61075917546506,5.86546790489245,7.32435755497645e-05,0.000898029926305808,0.000720703374974799,"3134/3133/3107/3106/7124/3105/355",7
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","17/255","216/9392",0.0787037037037037,2.89876543209877,4.71623772372292,7.91594424748095e-05,0.000930123449079011,0.000746459654915966,"1573/8743/3576/10333/4790/7124/3654/4067/3551/8797/834/3665/355/2353/4773/3383/9138",17
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","11/255","103/9392",0.106796116504854,3.93344755377879,5.0007674254649,0.000104463795004677,0.00117835160765276,0.000945672249516026,"8837/3576/10333/4790/7124/3654/3551/355/2353/624/718",11
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","7/255","44/9392",0.159090909090909,5.85953654188948,5.39741779572506,0.000162541140940377,0.0017629462209687,0.00141483179361057,"3134/3133/3107/3106/7124/3105/355",7
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","7/255","45/9392",0.155555555555556,5.72932461873638,5.3124329093812,0.000188083967750096,0.00196443255205656,0.00157653228328541,"3134/3133/3107/3106/7124/3105/355",7
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","10/255","95/9392",0.105263157894737,3.87698658410733,4.70817310250795,0.000242520808675412,0.00240518839249764,0.00193025570879803,"6372/3576/4790/7124/7128/3551/8061/2353/6426/1051",10
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","9/255","78/9392",0.115384615384615,4.24977375565611,4.81455896177019,0.000247342068732026,0.00240518839249764,0.00193025570879803,"6372/3576/4790/3659/7124/3654/834/2353/718",9
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","12/255","134/9392",0.0895522388059701,3.29833187006146,4.47641918414911,0.00027668128687527,0.00254742618129984,0.00204440697640711,"8743/3133/3107/3106/7124/3105/2185/8797/355/5336/4773/3383",12
