"virus" "replicate" "organoid_stage" "id" "name" "tissue"
"VL1" "MLB2" "1" "4d" "VL1" "MLB2_brain_4d_VL1" "brain"
"VL2" "MLB2" "2" "4d" "VL2" "MLB2_brain_4d_VL2" "brain"
"VL3" "VA1" "1" "4d" "VL3" "VA1_brain_4d_VL3" "brain"
"VL4" "VA1" "2" "4d" "VL4" "VA1_brain_4d_VL4" "brain"
"VL5" "HAstV4" "1" "4d" "VL5" "HAstV4_brain_4d_VL5" "brain"
"VL6" "HAstV4" "2" "4d" "VL6" "HAstV4_brain_4d_VL6" "brain"
"VL7" "Mock" "1" "4d" "VL7" "Mock_brain_4d_VL7" "brain"
"VL8" "Mock" "2" "4d" "VL8" "Mock_brain_4d_VL8" "brain"
"S22" "HAstV4" "1" "diff" "S22" "HAstV4_gut_diff_S22" "gut"
"S10" "VA1" "3" "undiff" "S10" "VA1_gut_undiff_S10" "gut"
"S23" "HAstV4" "2" "diff" "S23" "HAstV4_gut_diff_S23" "gut"
"S11" "HAstV4" "2" "undiff" "S11" "HAstV4_gut_undiff_S11" "gut"
"S24" "HAstV4" "3" "diff" "S24" "HAstV4_gut_diff_S24" "gut"
"S12" "HAstV4" "3" "undiff" "S12" "HAstV4_gut_undiff_S12" "gut"
"S16" "MLB2" "1" "diff" "S16" "MLB2_gut_diff_S16" "gut"
"S4" "MLB2" "1" "undiff" "S4" "MLB2_gut_undiff_S4" "gut"
"S17" "MLB2" "2" "diff" "S17" "MLB2_gut_diff_S17" "gut"
"S5" "MLB2" "2" "undiff" "S5" "MLB2_gut_undiff_S5" "gut"
"S18" "MLB2" "3" "diff" "S18" "MLB2_gut_diff_S18" "gut"
"S6" "MLB2" "3" "undiff" "S6" "MLB2_gut_undiff_S6" "gut"
"S13" "Mock" "1" "diff" "S13" "Mock_gut_diff_S13" "gut"
"S1" "Mock" "1" "undiff" "S1" "Mock_gut_undiff_S1" "gut"
"S14" "Mock" "2" "diff" "S14" "Mock_gut_diff_S14" "gut"
"S2" "Mock" "2" "undiff" "S2" "Mock_gut_undiff_S2" "gut"
"S15" "Mock" "3" "diff" "S15" "Mock_gut_diff_S15" "gut"
"S3" "Mock" "3" "undiff" "S3" "Mock_gut_undiff_S3" "gut"
"S19" "VA1" "1" "diff" "S19" "VA1_gut_diff_S19" "gut"
"S7" "VA1" "1" "undiff" "S7" "VA1_gut_undiff_S7" "gut"
"S20" "VA1" "2" "diff" "S20" "VA1_gut_diff_S20" "gut"
"S8" "VA1" "2" "undiff" "S8" "VA1_gut_undiff_S8" "gut"
"S21" "VA1" "3" "diff" "S21" "VA1_gut_diff_S21" "gut"
"S9" "HAstV4" "1" "undiff" "S9" "HAstV4_gut_undiff_S9" "gut"
