"virus" "replicate" "organoid_stage" "id" "name"
"S22" "HAstV4" 1 "diff" "S22" "HAstV4_1_diff_S22"
"S10" "VA1" 3 "undiff" "S10" "VA1_3_undiff_S10"
"S23" "HAstV4" 2 "diff" "S23" "HAstV4_2_diff_S23"
"S11" "HAstV4" 2 "undiff" "S11" "HAstV4_2_undiff_S11"
"S24" "HAstV4" 3 "diff" "S24" "HAstV4_3_diff_S24"
"S12" "HAstV4" 3 "undiff" "S12" "HAstV4_3_undiff_S12"
"S16" "MLB2" 1 "diff" "S16" "MLB2_1_diff_S16"
"S4" "MLB2" 1 "undiff" "S4" "MLB2_1_undiff_S4"
"S17" "MLB2" 2 "diff" "S17" "MLB2_2_diff_S17"
"S5" "MLB2" 2 "undiff" "S5" "MLB2_2_undiff_S5"
"S18" "MLB2" 3 "diff" "S18" "MLB2_3_diff_S18"
"S6" "MLB2" 3 "undiff" "S6" "MLB2_3_undiff_S6"
"S13" "Mock" 1 "diff" "S13" "Mock_1_diff_S13"
"S1" "Mock" 1 "undiff" "S1" "Mock_1_undiff_S1"
"S14" "Mock" 2 "diff" "S14" "Mock_2_diff_S14"
"S2" "Mock" 2 "undiff" "S2" "Mock_2_undiff_S2"
"S15" "Mock" 3 "diff" "S15" "Mock_3_diff_S15"
"S3" "Mock" 3 "undiff" "S3" "Mock_3_undiff_S3"
"S19" "VA1" 1 "diff" "S19" "VA1_1_diff_S19"
"S7" "VA1" 1 "undiff" "S7" "VA1_1_undiff_S7"
"S20" "VA1" 2 "diff" "S20" "VA1_2_diff_S20"
"S8" "VA1" 2 "undiff" "S8" "VA1_2_undiff_S8"
"S21" "VA1" 3 "diff" "S21" "VA1_3_diff_S21"
"S9" "HAstV4" 1 "undiff" "S9" "HAstV4_1_undiff_S9"
